March 9  内蒙古县界--线条类型9
0 0 0 0 0 0 0 0 0 0
6  5      1  8421504       1   65535  000 000
116.427  44.866
116.516  44.765
116.571  44.745
116.561  44.665
116.500  44.581
116.520  44.529
9  5      1  8421504       1   65535  000 000
119.149  44.779
119.178  44.722
119.112  44.722
119.112  44.722
119.048  44.691
118.981  44.612
118.960  44.541
118.834  44.500
118.774  44.451
34  5      1  8421504       1   65535  000 000
119.996  45.619
120.044  45.586
120.174  45.590
120.174  45.590
120.261  45.555
120.306  45.558
120.306  45.558
120.346  45.520
120.411  45.503
120.430  45.465
120.487  45.463
120.530  45.437
120.552  45.416
120.548  45.358
120.682  45.283
120.699  45.237
120.829  45.230
120.870  45.164
120.951  45.142
120.943  45.120
120.978  45.111
120.979  45.085
121.057  45.029
121.064  44.995
121.169  44.979
121.218  44.923
121.343  44.877
121.418  44.772
121.477  44.750
121.482  44.710
121.590  44.660
121.764  44.446
121.933  44.388
121.924  44.347
14  5      1  8421504       1   65535  000 000
118.774  44.451
118.648  44.441
118.629  44.464
118.629  44.464
118.604  44.462
118.550  44.430
118.546  44.401
118.476  44.387
118.472  44.345
118.396  44.306
118.364  44.318
118.364  44.318
118.331  44.307
118.301  44.283
4  5      1  8421504       1   65535  000 000
118.774  44.451
118.795  44.325
118.747  44.284
118.710  44.277
6  5      1  8421504       1   65535  000 000
121.924  44.347
121.939  44.319
121.987  44.324
121.987  44.324
122.126  44.261
122.262  44.261
9  5      1  8421504       1   65535  000 000
113.463  44.776
113.455  44.748
113.491  44.731
113.508  44.656
113.558  44.588
113.655  44.562
113.759  44.488
113.816  44.381
114.000  44.199
2  5      1  8421504       1   65535  000 000
121.326  44.146
121.246  44.136
14  5      1  8421504       1   65535  000 000
121.924  44.347
121.797  44.327
121.672  44.269
121.582  44.274
121.532  44.339
121.461  44.375
121.461  44.375
121.411  44.375
121.299  44.335
121.257  44.282
121.190  44.296
121.190  44.296
121.142  44.265
121.246  44.136
17  5      1  8421504       1   65535  000 000
118.301  44.283
118.268  44.296
118.268  44.296
118.251  44.237
118.212  44.241
118.212  44.241
118.166  44.202
118.136  44.206
118.136  44.206
118.107  44.129
118.057  44.101
117.918  44.125
117.918  44.125
117.817  44.051
117.753  44.071
117.736  44.098
117.584  44.105
3  5      1  8421504       1   65535  000 000
121.326  44.146
121.385  44.142
121.535  44.028
4  5      1  8421504       1   65535  000 000
121.246  44.136
121.160  44.067
121.053  44.040
121.060  44.021
3  5      1  8421504       1   65535  000 000
117.584  44.105
117.554  44.067
117.583  44.021
18  5      1  8421504       1   65535  000 000
